RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT
2500,"8""",8,RF,12,"2""",2,395,12.054
2500,"10""",10,RF,12,"2-1/2""",2.5,490,12.054
2500,"12""",12,RF,12,"2-3/4""",2.75,540,12.428
2500,"14""",14,RF,,,,,12.615
2500,"16""",16,RF,,,,,12.895
2500,"18""",18,RF,,,,,13.3625
2500,"20""",20,RF,,,,,20.546
2500,"24""",24,RF,,,,,21.395
2500,"1/2""",0.5,RTJ,4,"3/4""",0.75,135,21.8195
2500,"3/4""",0.75,RTJ,4,"3/4""",0.75,140,22.527
2500,"1""",1,RTJ,4,"7/8""",0.875,150,26.5495
2500,"1-1/2""",1.5,RTJ,4,"1-1/8""",1.125,190,27.2275
2500,"2""",2,RTJ,8,"1""",1,195,42.403
2500,"3""",3,RTJ,8,"1-1/4""",1.25,240,43.819
2500,"4""",4,RTJ,8,"1-1/2""",1.5,280,
2500,"6""",6,RTJ,8,"2""",2,370,
2500,"8""",8,RTJ,12,"2""",2,405,
2500,"10""",10,RTJ,12,"2-1/2""",2.5,515,
2500,"12""",12,RTJ,12,"2-3/4""",2.75,565,
2500,"14""",14,RTJ,,,,,
2500,"16""",16,RTJ,,,,,
2500,"18""",18,RTJ,,,,,
2500,"20""",20,RTJ,,,,,
2500,"24""",24,RTJ,,,,,
